IMPCTY,IYEAR,45-64,65-69,70-74,75-79,80-85,85+,White,Black,American_Indian_or_Alaskan_Native,Asian_and_PI,Hispanic,Other,0,9,12,14,16,19,Male,Female,Total_LLCPWT,CNF_MMRY_YES_LLCPWT,Percentage_CNFM,Total_LLCPWT_County,County_Percentage_CNFM
1,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3102.251601,278.2483658,9.0,23240.42754,1.197260099
1,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,718.3414196,78.98400345,11.0,23240.42754,0.339856069
1,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,358.1258221,0,0.0,23240.42754,0
1,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,367.2399459,0,0.0,23240.42754,0
1,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,197.4462181,25.22920012,12.8,43732.35428,0.057690011
1,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,344.9803233,70.56005008,20.5,43732.35428,0.16134519
1,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,219.1802749,19.73446169,9.0,43732.35428,0.045125542
1,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,154.2737488,0,0.0,43732.35428,0
1,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,913.5683143,0,0.0,43732.35428,0
1,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,186.5028295,115.5141575,61.9,43732.35428,0.264138895
1,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,359.7441311,0,0.0,43732.35428,0
1,2020,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,39.0622416,0,0.0,43732.35428,0
1,2020,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,66.09706521,0,0.0,43732.35428,0
1,2020,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,42.49491442,0,0.0,43732.35428,0
1,2020,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,34.06289604,0,0.0,43732.35428,0
1,2020,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,154.4810603,0,0.0,43732.35428,0
1,2020,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,317.9537096,129.4893793,40.7,43732.35428,0.296095148
1,2020,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,315.0261058,144.9141789,46.0,43732.35428,0.331366059
1,2020,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,408.3158243,0,0.0,43732.35428,0
1,2020,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,344.7606192,72.04954204,20.9,43732.35428,0.164751117
1,2020,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,72.02919012,0,0.0,43732.35428,0
1,2020,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,34.6245928,0,0.0,43732.35428,0
1,2020,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,141.4220116,0,0.0,43732.35428,0
1,2020,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,333.5389059,0,0.0,43732.35428,0
1,2020,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,105.1358349,15.4782883,14.7,43732.35428,0.03539322
1,2020,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,194.8905387,0,0.0,43732.35428,0
1,2020,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,548.535769,0,0.0,43732.35428,0
1,2020,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,878.8337515,111.1185826,12.6,43732.35428,0.254087813
1,2020,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,464.5859719,0,0.0,43732.35428,0
1,2020,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,151.5942181,0,0.0,43732.35428,0
1,2020,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,156.2958736,0,0.0,43732.35428,0
1,2020,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,76.16883516,0,0.0,43732.35428,0
1,2020,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,13.93665728,13.93665728,100.0,43732.35428,0.03186807
1,2020,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,144.3168797,0,0.0,43732.35428,0
1,2020,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,504.7155415,40.34102356,8.0,43732.35428,0.092245259
1,2020,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,619.7232023,173.1341247,27.9,43732.35428,0.395894819
1,2020,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,463.3314089,8.475674506,1.8,43732.35428,0.019380787
1,2020,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,629.0687806,223.4176379,35.5,43732.35428,0.510874938
1,2020,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,910.4558926,0,0.0,43732.35428,0
1,2020,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,215.3121335,85.11828496,39.5,43732.35428,0.194634582
1,2020,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,178.4680515,0,0.0,43732.35428,0
